„“,“weighting“,“discrepancy“,“vis“,“mean"
"1","0","0","1",0
"2","0","0","2",0
"3","0","0","3",0
"4","0","0","4",0
"5","0","1","1",0.0139215686274486
"6","0","1","2",-0.0158730158730167
"7","0","1","3",-0.0218379446640324
"8","0","1","4",-0.0102766798418976
"9","0","2","1",0.00750326797385961
"10","0","2","2",-0.0235032679738533
"11","0","2","3",-0.0317124183006478
"12","0","2","4",-0.0175098814229237
"13","1","0","1",0
"14","1","0","2",0
"15","1","0","3",0
"16","1","0","4",0
"17","1","1","1",0.0949803149606279
"18","1","1","2",0.0409722222222192
"19","1","1","3",0.0571146245059276
"20","1","1","4",0.0747035573122489
"21","1","2","1",0.105202614379096
"22","1","2","2",-0.0025691699604672
"23","1","2","3",0.0327473958333492
"24","1","2","4",0.0229644268774881
"25","2","0","1",0
"26","2","0","2",0
"27","2","0","3",0
"28","2","0","4",0
"29","2","1","1",0.189980158730159
"30","2","1","2",0.0743110236220462
"31","2","1","3",0.0610671936758908
"32","2","1","4",0.0791338582677158
"33","2","2","1",0.207270341207352
"34","2","2","2",0.0579166666666875
"35","2","2","3",0.0231364829396339
"36","2","2","4",0.0197322623828755
"37","3","0","1",0
"38","3","0","2",0
"39","3","0","3",0
"40","3","0","4",0
"41","3","1","1",0.305882352941176
"42","3","1","2",0.130413385826772
"43","3","1","3",0.0217391304347808
"44","3","1","4",0.119960474308302
"45","3","2","1",0.305800524934377
"46","3","2","2",0.118614379084926
"47","3","2","3",0.0548484848484664
"48","3","2","4",0.0498562091503055
"49","4","0","1",0
"50","4","0","2",0
"51","4","0","3",0
"52","4","0","4",0
"53","4","1","1",0.410196078431373
"54","4","1","2",0.177371541501981
"55","4","1","3",0.107677165354335
"56","4","1","4",0.145200000000002
"57","4","2","1",0.412165354330711
"58","4","2","2",0.186141732283459
"59","4","2","3",0.140627450980389
"60","4","2","4",0.12068241469815
